Panel,country,admin_region_code,admin_region_name,country_admin_region,child_n,unique_psu_n,percent_of_country_children,hr_rows,hr_unique_households,hr_clusters,hh_per_cluster_min,hh_per_cluster_median,hh_per_cluster_mean,hh_per_cluster_max,kr_households_checked,kr_households_unmatched_to_hr,n_children,water_rate_loo_nonmissing_n,water_rate_loo_nonmissing_pct,sanitation_rate_loo_core_nonmissing_n,sanitation_rate_loo_core_nonmissing_pct,sanitation_rate_loo_robustness_biodigester_nonmissing_n,sanitation_rate_loo_robustness_biodigester_nonmissing_pct,rate,n_households,min_other_hh,p25_other_hh,median_other_hh,mean_other_hh,p75_other_hh,max_other_hh,n_zero_other_hh,pct_zero_other_hh
Administrative-region FE support (Step 09),nigeria,35,ondo,nigeria::35,346,35,1.2454,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative-region FE support (Step 09),nigeria,36,osun,nigeria::36,356,38,1.2814,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative-region FE support (Step 09),nigeria,37,oyo,nigeria::37,546,43,1.9652,,,,,,,,,,,,,,,,,,,,,,,,,,
HR/WASH exposure linkage support (Step 08),ethiopia,,,,,,,21241,21241,797,13,27,26.65119196988708,28,9228,0,13565,13565,100,13565,100,13565,100,,,,,,,,,,
HR/WASH exposure linkage support (Step 08),ghana,,,,,,,17933,17933,618,19,30,29.01779935275081,30,6542,0,9353,9353,100,9353,100,9353,100,,,,,,,,,,
HR/WASH exposure linkage support (Step 08),kenya,,,,,,,37911,37911,1691,4,23,22.419278533412182,31,13835,0,19530,19530,100,19530,100,19530,100,,,,,,,,,,
HR/WASH exposure linkage support (Step 08),nigeria,,,,,,,40047,40047,1380,11,30,29.019565217391303,30,16548,0,27783,27783,100,27783,100,27783,100,,,,,,,,,,
LOO denominator distribution (Step 08),ethiopia,,,,,,,,,,,,,,,,,,,,,,,water,21241,8,25,26,25.659338072595453,27,27,0,0
LOO denominator distribution (Step 08),ethiopia,,,,,,,,,,,,,,,,,,,,,,,sanitation_core,21241,12,25,26,25.71743326585377,27,27,0,0
LOO denominator distribution (Step 08),ethiopia,,,,,,,,,,,,,,,,,,,,,,,sanitation_robustness,21241,12,25,26,25.71743326585377,27,27,0,0
LOO denominator distribution (Step 08),ghana,,,,,,,,,,,,,,,,,,,,,,,water,17933,18,28,29,28.088997936764624,29,29,0,0
LOO denominator distribution (Step 08),ghana,,,,,,,,,,,,,,,,,,,,,,,sanitation_core,17933,16,27,28,27.471254112529973,29,29,0,0
LOO denominator distribution (Step 08),ghana,,,,,,,,,,,,,,,,,,,,,,,sanitation_robustness,17933,18,28,29,28.03964757709251,29,29,0,0
LOO denominator distribution (Step 08),kenya,,,,,,,,,,,,,,,,,,,,,,,water,37911,1,21,22,21.4383951887315,23,30,0,0
LOO denominator distribution (Step 08),kenya,,,,,,,,,,,,,,,,,,,,,,,sanitation_core,37911,3,21,22,21.695391838780303,23,30,0,0
LOO denominator distribution (Step 08),kenya,,,,,,,,,,,,,,,,,,,,,,,sanitation_robustness,37911,3,21,22,21.695391838780303,23,30,0,0
LOO denominator distribution (Step 08),nigeria,,,,,,,,,,,,,,,,,,,,,,,water,40047,10,28,29,28.175144205558468,29,29,0,0
LOO denominator distribution (Step 08),nigeria,,,,,,,,,,,,,,,,,,,,,,,sanitation_core,40047,10,28,29,28.14707718430844,29,29,0,0
LOO denominator distribution (Step 08),nigeria,,,,,,,,,,,,,,,,,,,,,,,sanitation_robustness,40047,10,28,29,28.14707718430844,29,29,0,0
